IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
172.65.185.73,8443,8443,true,NRT,Asia Pacific,Tokyo,217.02,10.11
172.65.39.238,8443,8443,true,NRT,Asia Pacific,Tokyo,217.04,10.11
185.176.24.92,8443,8443,true,NRT,Asia Pacific,Tokyo,217.15,10.11
172.65.188.202,8443,8443,true,NRT,Asia Pacific,Tokyo,217.22,10.11
104.16.143.206,8443,8443,true,NRT,Asia Pacific,Tokyo,217.28,10.11
104.18.123.30,8443,8443,true,NRT,Asia Pacific,Tokyo,217.34,10.11
104.19.166.227,8443,8443,true,NRT,Asia Pacific,Tokyo,217.40,10.11
104.18.122.55,8443,8443,true,NRT,Asia Pacific,Tokyo,217.57,10.11
104.16.141.193,8443,8443,true,NRT,Asia Pacific,Tokyo,217.58,10.11
104.16.59.41,8443,8443,true,NRT,Asia Pacific,Tokyo,217.59,10.11
104.18.125.186,8443,8443,true,NRT,Asia Pacific,Tokyo,217.61,10.11
217.163.76.129,8443,8443,true,NRT,Asia Pacific,Tokyo,217.64,10.11
104.19.229.217,8443,8443,true,NRT,Asia Pacific,Tokyo,217.65,10.11
104.21.29.119,8443,8443,true,NRT,Asia Pacific,Tokyo,217.67,10.11
104.17.240.114,8443,8443,true,NRT,Asia Pacific,Tokyo,217.90,10.11
104.16.54.210,8443,8443,true,NRT,Asia Pacific,Tokyo,217.91,10.11
104.16.142.3,8443,8443,true,NRT,Asia Pacific,Tokyo,217.94,10.11
104.16.35.226,8443,8443,true,NRT,Asia Pacific,Tokyo,217.95,10.11
104.21.238.48,8443,8443,true,NRT,Asia Pacific,Tokyo,218.03,10.11
104.16.140.109,8443,8443,true,NRT,Asia Pacific,Tokyo,218.04,10.11
172.67.171.35,8443,8443,true,NRT,Asia Pacific,Tokyo,218.10,10.11
104.18.121.26,8443,8443,true,NRT,Asia Pacific,Tokyo,218.11,10.11
104.16.49.72,8443,8443,true,NRT,Asia Pacific,Tokyo,218.16,10.11
104.16.97.179,8443,8443,true,NRT,Asia Pacific,Tokyo,218.17,10.11
104.19.239.14,8443,8443,true,NRT,Asia Pacific,Tokyo,218.36,10.11
104.16.138.178,8443,8443,true,NRT,Asia Pacific,Tokyo,218.52,10.11
104.18.21.176,8443,8443,true,NRT,Asia Pacific,Tokyo,218.55,10.11
104.17.252.143,8443,8443,true,NRT,Asia Pacific,Tokyo,218.57,10.11
104.16.139.84,8443,8443,true,NRT,Asia Pacific,Tokyo,218.60,10.11
104.16.137.240,8443,8443,true,NRT,Asia Pacific,Tokyo,218.65,10.11
104.18.181.95,8443,8443,true,NRT,Asia Pacific,Tokyo,218.66,10.11
162.159.140.184,8443,8443,true,NRT,Asia Pacific,Tokyo,218.68,10.11
104.21.229.235,8443,8443,true,NRT,Asia Pacific,Tokyo,218.75,10.11
104.17.238.24,8443,8443,true,NRT,Asia Pacific,Tokyo,218.77,10.11
104.16.135.60,8443,8443,true,NRT,Asia Pacific,Tokyo,218.81,10.11
172.65.189.211,8443,8443,true,NRT,Asia Pacific,Tokyo,218.84,10.11
172.66.46.9,8443,8443,true,NRT,Asia Pacific,Tokyo,218.87,10.11
172.65.210.253,8443,8443,true,NRT,Asia Pacific,Tokyo,218.88,10.11
104.18.188.211,8443,8443,true,NRT,Asia Pacific,Tokyo,218.91,10.11
104.16.133.74,8443,8443,true,NRT,Asia Pacific,Tokyo,219.04,10.11
104.17.255.1,8443,8443,true,NRT,Asia Pacific,Tokyo,219.06,10.11
104.16.132.53,8443,8443,true,NRT,Asia Pacific,Tokyo,219.08,10.11
104.16.32.99,8443,8443,true,NRT,Asia Pacific,Tokyo,219.16,10.11
172.67.73.99,8443,8443,true,NRT,Asia Pacific,Tokyo,219.20,10.11
